step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,episode,global_step
5.0,2,0,0,0,2,0,0.0,0.0,14.111477387412322,0,0.0,0.9375731913494598,0,0.0,1,260.0
10.0,5,0,0,0,5,0,0.0,0.0,13.980458855546072,0,0.0,0.9584789133238258,0,0.0,1,265.0
15.0,10,0,0,0,10,0,0.0,0.0,10.453643636416158,0,0.0,0.7476957586032412,0,0.0,1,270.0
20.0,12,0,4,0,12,0,12.0,1.0,7.328286007467507,4,12.0,0.5489502401844236,4,12.0,1,275.0
25.0,14,0,6,0,14,0,39.0,2.7857142857142856,4.183559613536883,6,39.0,0.2539328812712824,6,39.0,1,280.0
30.0,16,0,11,0,16,0,87.0,5.4375,3.790815924171431,11,87.0,0.2155287635577225,11,87.0,1,285.0
35.0,16,0,12,1,17,0,145.0,9.0625,2.320853096934311,12,145.0,0.12778818195757,12,145.0,1,290.0
40.0,18,0,8,1,19,0,82.0,4.555555555555555,3.4148472029136743,8,156.0,0.185872485799929,8,156.0,1,295.0
45.0,20,0,0,2,22,0,0.0,0.0,8.479446159248088,0,96.0,0.5120107503740584,0,96.0,1,300.0
50.0,23,0,0,2,25,0,0.0,0.0,11.251850729398877,0,14.0,0.6863269267913428,0,14.0,1,305.0
55.0,21,0,2,6,27,0,5.0,0.238095238095238,10.889557334179642,2,5.0,0.6818102378657552,2,5.0,1,310.0
60.0,20,0,3,10,30,0,16.0,0.8,10.385474874031544,3,16.0,0.606607319049964,3,16.0,1,315.0
65.0,16,0,4,15,31,0,34.0,2.125,9.454753812442352,4,34.0,0.4670505619422103,4,34.0,1,320.0
70.0,16,0,0,20,36,0,0.0,0.0,10.2973133292358,0,15.0,0.6948065981781282,0,15.0,1,325.0
75.0,18,0,1,22,40,0,3.0,0.1666666666666666,11.399271371105062,1,3.0,0.7561543575655404,1,3.0,1,330.0
80.0,19,0,5,24,43,0,16.0,0.8421052631578947,9.134274175401291,5,16.0,0.5223510192444405,5,16.0,1,335.0
85.0,20,0,7,28,48,0,44.0,2.2,6.501433182263627,7,44.0,0.3890029237606576,7,44.0,1,340.0
90.0,23,0,5,30,53,0,19.0,0.8260869565217391,6.675317047457725,5,54.0,0.4660255652102063,5,54.0,1,345.0
95.0,28,0,1,30,58,0,4.0,0.1428571428571428,8.668671081711128,1,27.0,0.542700725123616,1,27.0,1,350.0
100.0,31,0,5,31,62,0,20.0,0.6451612903225806,9.109565941052995,5,20.0,0.5151327851733225,5,20.0,1,355.0
105.0,31,0,6,35,66,0,48.0,1.5483870967741935,9.309438647074154,6,48.0,0.5340215004623381,6,48.0,1,360.0
110.0,30,0,7,40,70,0,83.0,2.7666666666666666,8.99230313388454,7,83.0,0.519919300615267,7,83.0,1,365.0
115.0,29,0,8,44,73,0,122.0,4.206896551724138,8.877346326987997,8,122.0,0.4778395917416179,8,122.0,1,370.0
120.0,29,0,3,49,78,0,26.0,0.896551724137931,8.78193635865462,3,106.0,0.5435723697737305,3,106.0,1,375.0
125.0,28,0,3,54,82,0,6.0,0.2142857142857142,9.334741074103786,3,33.0,0.5810526285367518,3,33.0,1,380.0
130.0,31,0,7,57,88,0,30.0,0.967741935483871,8.886133591561272,7,30.0,0.4725902382009859,7,30.0,1,385.0
135.0,29,0,11,62,91,0,77.0,2.655172413793104,6.620280424023738,11,77.0,0.3374048908347279,11,77.0,1,390.0
140.0,29,0,8,66,95,0,54.0,1.862068965517241,5.081849457415493,8,102.0,0.277471594408996,8,102.0,1,395.0
145.0,29,0,6,70,99,0,17.0,0.5862068965517241,5.958608087396268,6,90.0,0.3364892853592111,6,90.0,1,400.0
150.0,33,0,3,70,103,0,26.0,0.7878787878787878,7.805726105169063,3,62.0,0.4021875418272031,3,62.0,1,405.0
155.0,32,0,2,73,105,0,4.0,0.125,7.655136181912603,2,45.0,0.4182333582248028,2,45.0,1,410.0
160.0,29,0,7,79,108,0,29.0,1.0,6.446315503999986,7,58.0,0.2805841652977793,7,58.0,1,415.0
165.0,30,0,12,82,112,0,80.0,2.6666666666666665,5.519734855617767,12,109.0,0.260823463559848,12,109.0,1,420.0
170.0,30,0,12,86,116,0,75.0,2.5,4.645089600961623,12,139.0,0.2688792094128505,12,139.0,1,425.0
175.0,35,0,7,88,123,0,35.0,1.0,7.088690677879986,7,122.0,0.427109746928918,7,122.0,1,430.0
180.0,35,0,2,89,124,0,8.0,0.2285714285714285,7.523587290706179,2,76.0,0.3417028244421236,2,76.0,1,435.0
185.0,35,0,4,93,128,0,28.0,0.8,8.161137464215319,4,63.0,0.4285510046666537,4,63.0,1,440.0
190.0,36,0,1,97,133,0,3.0,0.0833333333333333,7.860575055280312,1,47.0,0.4898662597085508,1,47.0,1,445.0
195.0,37,0,5,102,139,0,18.0,0.4864864864864865,7.415817250874892,5,41.0,0.4227845968705607,5,41.0,1,450.0
200.0,34,0,12,107,141,0,63.0,1.8529411764705883,4.977661744384564,12,83.0,0.1790624884871398,12,83.0,1,455.0
205.0,34,0,17,111,145,0,142.0,4.176470588235294,4.119502680799704,17,164.0,0.1921511089874933,17,164.0,1,460.0
210.0,36,0,24,115,151,0,253.0,7.027777777777778,2.883331536413316,24,275.0,0.1460100106516799,24,275.0,1,465.0
215.0,41,0,23,116,157,0,252.0,6.146341463414634,2.9416332585325944,23,346.0,0.1778702655759686,23,346.0,1,470.0
220.0,45,0,18,117,162,0,185.0,4.111111111111111,3.820643263515001,18,353.0,0.1839277138304788,18,353.0,1,475.0
225.0,45,0,17,118,163,0,126.0,2.8,5.578579295846651,17,330.0,0.2177722615140317,17,330.0,1,480.0
230.0,41,2,11,122,163,0,84.0,2.048780487804878,6.348274126170593,11,324.0,0.2758342989366706,11,324.0,1,485.0
235.0,37,4,7,127,164,0,62.0,1.6756756756756757,7.640575653712355,7,262.0,0.3733376958491905,7,262.0,1,490.0
240.0,36,4,7,131,167,0,97.0,2.6944444444444446,8.636713671566342,7,207.0,0.4897474201438096,7,207.0,1,495.0
245.0,38,0,7,136,174,0,132.0,3.473684210526316,8.816594958618317,7,192.0,0.5358037998718156,7,192.0,1,500.0
250.0,34,0,3,142,176,0,21.0,0.6176470588235294,7.77524384804056,3,147.0,0.4321689184397034,3,147.0,1,505.0
5.0,3,0,0,0,3,0,0.0,0.0,13.528632935642724,0,0.0,0.9612326748198856,0,0.0,2,515.0
10.0,7,0,0,0,7,0,0.0,0.0,12.776367331915562,0,0.0,0.95479213796952,0,0.0,2,520.0
15.0,7,0,1,0,7,0,1.0,0.1428571428571428,10.41991678632156,1,1.0,0.7300257788400293,1,1.0,2,525.0
20.0,8,0,2,0,8,0,8.0,1.0,8.774304422184569,2,8.0,0.5499002296814466,2,8.0,2,530.0
25.0,9,0,0,1,10,0,0.0,0.0,7.70414177064105,0,0.0,0.5621100714182445,0,0.0,2,535.0
30.0,11,0,1,2,13,0,3.0,0.2727272727272727,11.86809768895044,1,3.0,0.8064149631163854,1,3.0,2,540.0
35.0,12,0,1,2,14,0,8.0,0.6666666666666666,10.515843231444146,1,8.0,0.631234531652506,1,8.0,2,545.0
40.0,11,0,3,4,15,0,18.0,1.6363636363636365,9.261276523742197,3,18.0,0.4735257430821976,3,18.0,2,550.0
45.0,9,0,0,7,16,0,0.0,0.0,9.703678899201428,0,4.0,0.6367592233869555,0,4.0,2,555.0
50.0,9,0,0,9,18,0,0.0,0.0,11.844398521542438,0,0.0,0.8361856790342374,0,0.0,2,560.0
55.0,11,0,1,10,21,0,1.0,0.0909090909090909,11.00608172195527,1,1.0,0.757196485258047,1,1.0,2,565.0
60.0,10,0,2,13,23,0,7.0,0.7,10.46970206133826,2,7.0,0.7134715612490768,2,7.0,2,570.0
65.0,11,0,3,14,25,0,18.0,1.6363636363636365,8.267734095565677,3,18.0,0.5396394649907944,3,18.0,2,575.0
70.0,12,0,0,15,27,0,0.0,0.0,8.648765442433985,0,5.0,0.5958144541845785,0,5.0,2,580.0
75.0,16,0,1,16,32,0,5.0,0.3125,10.832976022325347,1,5.0,0.726289082783528,1,5.0,2,585.0
80.0,17,0,2,17,34,0,15.0,0.8823529411764706,11.366495809509118,2,15.0,0.7291746466326046,2,15.0,2,590.0
85.0,16,0,2,21,37,0,25.0,1.5625,10.658597127452795,2,25.0,0.6451464297284313,2,25.0,2,595.0
90.0,20,0,0,24,44,0,0.0,0.0,10.36736925999286,0,1.0,0.7063073512178514,0,1.0,2,600.0
95.0,23,0,4,26,49,0,16.0,0.6956521739130435,10.553189506915492,4,16.0,0.6652095370884764,4,16.0,2,605.0
100.0,26,0,6,28,54,0,40.0,1.5384615384615383,8.782131230037802,6,40.0,0.4814102292352458,6,40.0,2,610.0
105.0,25,0,11,32,57,0,87.0,3.48,5.70591740523527,11,87.0,0.2583814707397514,11,87.0,2,615.0
110.0,25,0,17,34,59,0,158.0,6.32,3.964962588434986,17,158.0,0.1609386072427136,17,158.0,2,620.0
115.0,26,0,19,36,62,0,249.0,9.576923076923077,2.705420202004728,19,249.0,0.1264959063905435,19,249.0,2,625.0
120.0,27,0,21,38,65,0,352.0,13.037037037037036,1.8663311537905451,21,352.0,0.1366516221187165,21,352.0,2,630.0
125.0,30,0,20,38,68,0,279.0,9.3,1.8203462628122165,20,394.0,0.1045022148636485,20,394.0,2,635.0
130.0,32,0,12,38,70,0,131.0,4.09375,4.352985006251892,12,334.0,0.195769362076944,12,334.0,2,640.0
135.0,35,0,6,38,73,0,48.0,1.3714285714285714,7.082064685119931,6,259.0,0.3258313320650436,6,259.0,2,645.0
140.0,36,0,2,41,77,0,20.0,0.5555555555555556,8.8261412843508,2,149.0,0.4693623375782437,2,149.0,2,650.0
145.0,33,0,1,46,79,0,2.0,0.0606060606060606,7.709885429902065,1,131.0,0.3973828254355367,1,131.0,2,655.0
150.0,30,0,7,52,82,0,26.0,0.8666666666666667,6.8950663222592725,7,155.0,0.3225102338043739,7,155.0,2,660.0
155.0,30,0,12,56,86,0,76.0,2.533333333333333,4.7210513052747896,12,205.0,0.2283766271486557,12,205.0,2,665.0
160.0,30,0,13,60,90,0,74.0,2.466666666666667,4.011316436369723,13,216.0,0.2516968221983377,13,216.0,2,670.0
165.0,31,0,8,61,92,0,37.0,1.1935483870967742,4.996047010229109,8,148.0,0.2297877517141434,8,148.0,2,675.0
170.0,35,0,5,61,96,0,16.0,0.4571428571428571,6.939462816747042,5,97.0,0.3024649799335693,5,97.0,2,680.0
175.0,35,0,4,65,100,0,28.0,0.8,8.186297593613618,4,77.0,0.4495243772773368,4,77.0,2,685.0
180.0,34,0,4,70,104,0,48.0,1.411764705882353,9.39708373459844,4,64.0,0.5823317102272172,4,64.0,2,690.0
185.0,33,0,5,75,108,0,70.0,2.121212121212121,9.768457499515412,5,70.0,0.6040444446331229,5,70.0,2,695.0
190.0,31,0,2,79,110,0,3.0,0.0967741935483871,7.460724457961356,2,45.0,0.3745034209333124,2,45.0,2,700.0
195.0,29,0,8,85,114,0,33.0,1.137931034482759,7.558284920626407,8,33.0,0.3460627309948862,8,33.0,2,705.0
200.0,28,0,12,89,117,0,87.0,3.107142857142857,6.190894408507447,12,87.0,0.2369591977497018,12,87.0,2,710.0
205.0,27,0,10,94,121,0,66.0,2.4444444444444446,5.774570435569439,10,117.0,0.321750945954108,10,117.0,2,715.0
210.0,26,0,2,98,124,0,5.0,0.1923076923076923,6.509142874971611,2,80.0,0.3370522918404951,2,80.0,2,720.0
215.0,30,0,1,98,128,0,5.0,0.1666666666666666,8.448808960244117,1,34.0,0.44078831988419,1,34.0,2,725.0
220.0,30,0,2,102,132,0,3.0,0.1,7.351781450483823,2,32.0,0.4090645289414781,2,32.0,2,730.0
225.0,30,0,7,106,136,0,27.0,0.9,5.644197869755049,7,56.0,0.3058688945859355,7,56.0,2,735.0
230.0,29,0,13,110,139,0,80.0,2.7586206896551726,4.095983474916665,13,109.0,0.1790005413823995,13,109.0,2,740.0
235.0,31,0,14,112,143,0,81.0,2.6129032258064515,3.637233232601039,14,144.0,0.1934763777598852,14,144.0,2,745.0
240.0,36,0,10,113,149,0,47.0,1.3055555555555556,5.341138449093233,10,142.0,0.2636636207750951,10,142.0,2,750.0
245.0,39,0,7,114,153,0,29.0,0.7435897435897436,6.4325024984919,7,122.0,0.2606686121764657,7,122.0,2,755.0
250.0,38,1,4,118,156,0,26.0,0.6842105263157895,6.369201994983146,4,104.0,0.2589720530381431,4,104.0,2,760.0
5.0,5,0,0,0,5,0,0.0,0.0,13.15617684130691,0,0.0,0.9708969045276842,0,0.0,3,770.0
10.0,10,0,0,0,10,0,0.0,0.0,13.369683342865097,0,0.0,0.9639136782687836,0,0.0,3,775.0
15.0,13,0,1,0,13,0,2.0,0.1538461538461538,11.27951768580854,1,2.0,0.8189263414604232,1,2.0,3,780.0
20.0,19,0,3,0,19,0,13.0,0.6842105263157895,9.836230323402734,3,13.0,0.6294056751349254,3,13.0,3,785.0
25.0,22,0,0,0,22,0,0.0,0.0,9.26033953567112,0,11.0,0.6259769767034873,0,11.0,3,790.0
30.0,22,0,1,4,26,0,1.0,0.0454545454545454,9.66647064022047,1,1.0,0.6140801294702397,1,1.0,3,795.0
35.0,27,0,4,5,32,0,15.0,0.5555555555555556,10.320910054857483,4,15.0,0.664401002221864,4,15.0,3,800.0
40.0,26,0,5,8,34,0,38.0,1.4615384615384617,8.99640673723785,5,38.0,0.5144127985622103,5,38.0,3,805.0
45.0,23,0,9,13,36,0,76.0,3.3043478260869565,6.977214143224413,9,76.0,0.2687965263006479,9,76.0,3,810.0
50.0,23,0,11,17,40,0,128.0,5.565217391304348,6.471404419373518,11,128.0,0.3219899629078554,11,128.0,3,815.0
55.0,25,0,12,19,44,0,186.0,7.44,6.682858408885709,12,186.0,0.4103684740072471,12,186.0,3,820.0
60.0,24,0,6,23,47,0,88.0,3.6666666666666665,5.2557798930837984,6,180.0,0.351638395288441,6,180.0,3,825.0
65.0,31,0,4,23,54,0,14.0,0.4516129032258064,8.089250716800338,4,112.0,0.51025992439114,4,112.0,3,830.0
70.0,33,0,7,24,57,0,44.0,1.3333333333333333,8.677473108647114,7,48.0,0.4595555534638674,7,48.0,3,835.0
75.0,34,0,11,28,62,0,93.0,2.735294117647059,7.428294607056562,11,93.0,0.3543577502122643,11,93.0,3,840.0
80.0,30,0,11,34,64,0,63.0,2.1,4.58944501839614,11,120.0,0.1913117677609354,11,120.0,3,845.0
85.0,30,0,6,39,69,0,27.0,0.9,6.437190854037485,6,98.0,0.3523722664027383,6,98.0,3,850.0
90.0,34,0,4,39,73,0,36.0,1.0588235294117647,8.20297675513433,4,72.0,0.4381269116195973,4,72.0,3,855.0
95.0,34,0,4,43,77,0,56.0,1.6470588235294117,9.119354175839057,4,63.0,0.5237715521040172,4,63.0,3,860.0
100.0,34,0,6,49,83,0,84.0,2.4705882352941178,9.464956088169243,6,84.0,0.5943389035148353,6,84.0,3,865.0
105.0,33,0,4,53,86,0,8.0,0.2424242424242424,7.997827968250528,4,64.0,0.4540004278773067,4,64.0,3,870.0
110.0,32,0,6,58,90,0,23.0,0.71875,8.199763884097367,6,30.0,0.4558505841449682,6,30.0,3,875.0
115.0,29,0,11,63,92,0,69.0,2.3793103448275863,6.646843409674782,11,69.0,0.2586428375916732,11,69.0,3,880.0
120.0,28,0,9,67,95,0,52.0,1.8571428571428568,5.699528998472777,9,97.0,0.262400154079388,9,97.0,3,885.0
